"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","List Office Name","Price"
"VAFX2155734","RES","CLS","1450 Emerson Ave #407","Mclean","Fairfax, VA","3","2/1","Unit/Flat/Apartment","03/01/24","CENTURY 21 New Millennium (CENT2041)","$1,310,000"
"VAFX2161582","RES","CLS","8360 Greensboro Dr #222","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","03/25/24","EXP Realty, LLC (EXPY4)","$538,000"
"VAFX2163798","RES","CLS","7581 Sawyer Farm Way","Mclean","Fairfax, VA","3","2/1","Interior Row/Townhouse","01/17/24","Non Subscribing Office (NON1)","$870,691"
"VAFX2160058","RES","CLS","7202 Heights Ct","Mclean","Fairfax, VA","6","4","Detached","03/27/24","Weichert, REALTORS (WEI70)","$1,440,000"
"VAFX2163350","RES","CLS","1813 Panarama Ct","Mclean","Fairfax, VA","5","3/1","Detached","03/08/24","Long & Foster Real Estate, Inc. (LNG83)","$1,400,000"
"VAFX2163720","RES","CLS","7205 Farm Meadow Ct","Mclean","Fairfax, VA","5","5/2","Detached","02/13/25","Long & Foster Real Estate, Inc. (LNG86)","$2,700,000"
"VAFX2163648","RES","CLS","1811 Franklin Ave","Mclean","Fairfax, VA","6","6/1","Detached","03/04/24","KW Metro Center (KWR17)","$2,450,000"
"VAFX2153878","RES","CLS","6511 W Langley Ln","Mclean","Fairfax, VA","7","8/2","Detached","04/18/24","Washington Fine Properties, LLC (WFP4)","$6,450,000"
"VAFX2162340","RES","CLS","7005 Sea Cliff Rd","Mclean","Fairfax, VA","4","3","Detached","05/28/24","Keller Williams Realty (KWR21)","$1,300,000"
"VAFX2161616","RES","CLS","1907 Foxhall Rd","Mclean","Fairfax, VA","6","6/2","Detached","11/21/24","Keller Williams Realty (KWR21)","$3,175,000"
"VAFX2163638","RES","CLS","6203 Mori St","Mclean","Fairfax, VA","6","6/1","Detached","02/09/24","Berkshire Hathaway HomeServices PenFed Realty (PFED36)","$2,416,331"
"VAFX2163548","RES","CLS","1468 Hampton Hill Cir","Mclean","Fairfax, VA","4","4/0","Interior Row/Townhouse","02/19/24","McEnearney Associates, Inc. (MCE1)","$990,000"
"VAFX2163432","RES","CLS","8370 Greensboro Dr #212","Mclean","Fairfax, VA","3","2","Unit/Flat/Apartment","06/07/24","Samson Properties (SAMP1)","$662,500"
"VAFX2162988","RES","CLS","8220 Crestwood Heights Dr #109","Mclean","Fairfax, VA","2","2/0","Unit/Flat/Apartment","05/15/24","Virginia Select Homes, LLC. (VSH1)","$660,000"
"VAFX2163412","RES","CLS","6622 Tucker Ave","Mclean","Fairfax, VA","4","3/1","Detached","03/01/24","Washington Fine Properties, LLC (WFP4)","$1,610,000"
